winery,wine,year,rating,num_reviews,country,region,type,body,acidity,price
Teso La Monja,Tinto,2013,4.9,58,Espana,Toro,Toro Red,5,3,995
Artadi,Vina El Pison,2018,4.9,31,Espana,Vino de Espana,Tempranillo,4,2,313.5
Vega Sicilia,Unico,2009,4.8,1793,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,324.95
Vega Sicilia,Unico,1999,4.8,1705,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,692.96
Vega Sicilia,Unico,1996,4.8,1309,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,778.06
Vega Sicilia,Unico,1998,4.8,1209,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,490
Vega Sicilia,Unico,2010,4.8,1201,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,349
Vega Sicilia,Unico,1995,4.8,926,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,810.89
Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,345
Vega Sicilia,Unico,2011,4.8,630,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,315
Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,514.85
Pago de Carraovejas,El Anejon,2016,4.8,454,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,105.15
Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,430
Vega Sicilia,Unico,1970,4.8,417,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,925
Toro Albala,Don PX Convento Seleccion,1946,4.8,398,Espana,Montilla-Moriles,Pedro Ximenez,5,1,350
Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,166.18
Vega Sicilia,Unico,1962,4.8,295,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1620
Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,250,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,431.36
Bodegas El Nido,El Nido,2018,4.8,217,Espana,Jumilla,Red,4,3,195.6273796
Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,211,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,824.43
Valdespino,Toneles Moscatel,N.V.,4.8,174,Espana,Jerez-Xeres-Sherry,Sherry,4,3,253
Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,172,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,570.51
Dominio de Pingus,Pingus,2016,4.8,145,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1280
Toro Albala,Don PX Convento Seleccion,1931,4.8,139,Espana,Montilla-Moriles,Pedro Ximenez,5,1,244.85
Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,125,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,719.34
Vega Sicilia,Unico,1979,4.8,118,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,815
Toro Albala,Don PX Pedro Ximenez,1946,4.8,103,Espana,Montilla-Moriles,Pedro Ximenez,5,1,285.86
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,87,Espana,Priorato,Priorat Red,4,3,1410.26
Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,87,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,813.96
Vega Sicilia,Unico Reserva Especial Edicion,2020,4.8,84,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,435.75
Ordonez,Vatan Arena Tinta de Toro,2014,4.8,79,Espana,Toro,Toro Red,5,3,369.05
Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,70,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1182.77
Toro Albala,Don PX Convento Seleccion,1929,4.8,69,Espana,Montilla-Moriles,Pedro Ximenez,5,1,227.95
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,68,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,999
Vina Sastre,Pesus Ribera del Duero,2007,4.8,68,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,360
Teso La Monja,Tinto,2012,4.8,56,Espana,Toro,Toro Red,5,3,1190
Dominio de Pingus,Pingus,2017,4.8,52,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1150
Teso La Monja,Tinto,2009,4.8,50,Espana,Toro,Toro Red,5,3,950
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,40,Espana,Priorato,Priorat Red,4,3,1021.21
Sierra Cantabria,Magico,2016,4.8,40,Espana,Rioja,Rioja Red,4,3,544.5
Teso La Monja,Tinto,2011,4.8,32,Espana,Toro,Toro Red,5,3,1295
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,31,Espana,Priorato,Priorat Red,4,3,992.2
Teso La Monja,Tinto,2015,4.8,28,Espana,Toro,Toro Red,5,3,1289.44
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,26,Espana,Bierzo,Red,4,3,1098.9
La Rioja Alta,Gran Reserva 890,1985,4.8,26,Espana,Rioja,Rioja Red,4,3,215.34
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,26,Espana,Priorato,Priorat Red,4,3,1094.9
Vega Sicilia,Unico Reserva Especial Edicion,,4.7,12421,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,423.5
Vega Sicilia,Valbuena 5o,2010,4.7,5266,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,239.5
Vega Sicilia,Valbuena 5o,2014,4.7,4350,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,175.5
Vega Sicilia,Valbuena 5o,2006,4.7,3929,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,194
Vega Sicilia,Unico,2005,4.7,3437,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,381.15
Vega Sicilia,Unico,2004,4.7,3164,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,584.43
Vega Sicilia,Unico,2000,4.7,3127,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,555.2
Vega Sicilia,Unico,2007,4.7,2935,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,445.28
Vega Sicilia,Valbuena 5o,2015,4.7,2826,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,189
Vega Sicilia,Unico,2006,4.7,2765,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,362.25
Vega Sicilia,Unico,2008,4.7,2480,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,289
Vega Sicilia,Unico,2003,4.7,2419,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,325
Vega Sicilia,Valbuena 5o,2016,4.7,2177,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,107.57
Vega Sicilia,Valbuena 5o,2005,4.7,1892,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,234
Vega Sicilia,Unico,2002,4.7,1199,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,500.94
Vega Sicilia,Unico,1991,4.7,1141,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,698.9
Vega Sicilia,Unico,1994,4.7,940,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,872.47
Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,935,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,877.85
Vega Sicilia,Unico,1990,4.7,690,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,827.94
Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,685,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,113.18
Vega Sicilia,Unico,1989,4.7,675,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,679.72
Vega Sicilia,Unico,1987,4.7,593,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,787.59
Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,560,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,480.06
Pago de Carraovejas,El Anejon,2015,4.7,543,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,75.1
Bodegas El Nido,El Nido,2014,4.7,511,Espana,Jumilla,Red,4,3,154.9
Bodegas El Nido,El Nido,2013,4.7,476,Espana,Jumilla,Red,4,3,145
Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,442,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,290
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,425,Espana,Rioja,Rioja White,3,3,795
Bodegas El Nido,El Nido,2016,4.7,393,Espana,Jumilla,Red,4,3,371.7800975
Bodegas El Nido,El Nido,2008,4.7,347,Espana,Jumilla,Red,4,3,134.19
Vinedos de Paganos,La Nieta,2015,4.7,312,Espana,Rioja,Rioja Red,4,3,82.58
Vega Sicilia,Unico,1981,4.7,308,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,873.86
Vega Sicilia,Unico Reserva Especial Edicion,2007,4.7,303,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,774.4
Emilio Moro,Malleolus de Valderramiro,2016,4.7,300,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,84.95
Dominio de Pingus,Pingus,2001,4.7,295,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,940
Vega Sicilia,Unico,1986,4.7,292,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,812.63
Emilio Moro,Malleolus de Sanchomartin,2016,4.7,291,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,116.54
Dominio de Pingus,Pingus,2004,4.7,285,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1500
Dominio de Pingus,Pingus,2006,4.7,280,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1190
Bodegas El Nido,El Nido,2017,4.7,268,Espana,Jumilla,Red,4,3,154.85
Teso La Monja,Alabaster,2016,4.7,264,Espana,Toro,Toro Red,5,3,135
Quinta de la Quietud,La Mula de la Quietud,2015,4.7,256,Espana,Toro,Toro Red,5,3,63.75
Vega Sicilia,Unico,1985,4.7,254,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,827.94
Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,4.7,251,Espana,Castilla y Leon,Tempranillo,4,2,66.07
Bodega Contador (Benjamin Romeo),Contador Rioja,2012,4.7,243,Espana,Rioja,Rioja Red,4,3,213.9
Remirez de Ganuza,Maria Remirez de Ganuza,2006,4.7,240,Espana,Rioja,Rioja Red,4,3,234.9
Vega Sicilia,Unico,1968,4.7,225,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,2087.25
Vinedos de Paganos,La Nieta,2018,4.7,220,Espana,Rioja,Rioja Red,4,3,89.9
Vega Sicilia,Unico,1964,4.7,214,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1384.54
Vega Sicilia,Unico,1982,4.7,205,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,820.98
Dominio de Pingus,Pingus,2015,4.7,203,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1250
Vega Sicilia,Unico Reserva Especial Edicion,1995,4.7,196,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1500
Dominio de Pingus,Pingus,1999,4.7,184,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1715.18
Vega Sicilia,Unico,1974,4.7,173,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,932.3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,4.7,171,Espana,Priorato,Priorat Red,4,3,1372.14
Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,137,Espana,Toro,Toro Red,5,3,78.9
Vega Sicilia,Unico Reserva Especial Edicion,2012,4.7,136,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,660.96
Pago de Los Capellanes,Parcela El Picon Tinto,2009,4.7,134,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,154
Vega Sicilia,Valbuena 5o,2017,4.7,133,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,134.89
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,4.7,132,Espana,Priorato,Priorat Red,4,3,1422.96
Bodega Numanthia,Termanthia,2005,4.7,131,Espana,Toro,Toro Red,5,3,207.11
Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,131,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,340.49
Emilio Moro,Clon De La Familia,2010,4.7,127,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,317.63
Alto Moncayo,Aquilon Garnacha,2011,4.7,123,Espana,Campo de Borja,Grenache,5,3,108.9
Vega Sicilia,Unico,1983,4.7,118,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,700
Toro Albala,Don PX Convento Seleccion,1955,4.7,117,Espana,Montilla-Moriles,Pedro Ximenez,5,1,185
Vega Sicilia,Unico,1980,4.7,116,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,911.43
Bodega Contador (Benjamin Romeo),Contador Rioja,2005,4.7,112,Espana,Rioja,Rioja Red,4,3,1150
Vega Sicilia,Unico,1972,4.7,110,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,698.95
Bodega Numanthia,Termanthia,2004,4.7,108,Espana,Toro,Toro Red,5,3,2814.16
Teso La Monja,Tinto,2010,4.7,102,Espana,Toro,Toro Red,5,3,1325
Alvaro Palacios,Quinon de Valmira,2015,4.7,102,Espana,Rioja,Rioja Red,4,3,527.26
Vega Sicilia,Unico Reserva Especial Edicion,1987,4.7,100,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1071.45
Mas Doix,1902 Centenary Carignan Priorat,2015,4.7,94,Espana,Priorato,Priorat Red,4,3,299
Finca Moncloa,Tintilla de Rota,2016,4.7,92,Espana,Cadiz,NA,NA,NA,43.13
Vega Sicilia,Unico,1953,4.7,89,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1207.6
Bodegas Roda,Cirsion Rioja,2000,4.7,87,Espana,Rioja,Rioja Red,4,3,175
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,4.7,82,Espana,Priorato,Priorat Red,4,3,1252.35
Bodegas El Nido,El Nido,2019,4.7,80,Espana,Jumilla,Red,4,3,145.9
Mas Doix,1902 Centenary Carignan Priorat,2013,4.7,74,Espana,Priorato,Priorat Red,4,3,447.95
Vega Sicilia,Unico Reserva Especial Edicion,2006,4.7,72,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,813.96
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,4.7,67,Espana,Priorato,Priorat Red,4,3,1410.26
Martinet,Cami Pesseroles,2006,4.7,65,Espana,Priorato,Priorat Red,4,3,182.9
Recaredo,Turo d'en Mota,2007,4.7,64,Espana,Cava,Cava,2,3,99
Vega Sicilia,Unico Reserva Especial Edicion,1986,4.7,63,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1113.2
Clos Erasmus,Priorat,2007,4.7,60,Espana,Priorato,Priorat Red,4,3,654.31
Pago de Los Capellanes,Parcela El Picon Tinto,2016,4.7,59,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,134.26
Barbadillo,Reliquia Palo Cortado Sherry,N.V.,4.7,58,Espana,Jerez Palo Cortado,Sherry,4,3,380
La Rioja Alta,Gran Reserva 890,1982,4.7,57,Espana,Rioja,Rioja Red,4,3,292.09
Gonzalez-Byass,Anada Palo Cortado 1987,1987,4.7,53,Espana,Jerez Palo Cortado,Sherry,4,3,400.85
Clos Erasmus,Daphne Glorian Red,2007,4.7,51,Espana,Priorato,Red,4,3,202.01
Toro Albala,Don PX Pedro Ximenez,1955,4.7,50,Espana,Montilla-Moriles,Pedro Ximenez,5,1,250
Vinedos de Paganos,La Nieta,2019,4.7,49,Espana,Rioja,Rioja Red,4,3,88.9
Bodegas Amaren,El Regollar,2016,4.7,49,Espana,Rioja,Rioja Red,4,3,77.9
Toro Albala,Don PX Convento Seleccion,1958,4.7,47,Espana,Montilla-Moriles,Pedro Ximenez,5,1,191.61
Teso La Monja,Alabaster,2018,4.7,45,Espana,Toro,Toro Red,5,3,123.89
Alvear,Abuelo Diego Palo Cortado,N.V.,4.7,42,Espana,Montilla-Moriles,Pedro Ximenez,5,1,114.28
Equipo Navazos,La Bota 78 de Oloroso,N.V.,4.7,41,Espana,Manzanilla,Sherry,4,3,95.57
Morca,Touran,2018,4.7,41,Espana,Campo de Borja,Grenache,5,3,93.95
Territorio Luthier,Luthier Gran Reserva,2012,4.7,40,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,248
Artadi,Vina El Pison,1995,4.7,39,Espana,Vino de Espana,Tempranillo,4,2,397
Rafael Palacios,Sorte O Soro Val do Bibei,2019,4.7,37,Espana,Valdeorras,NA,NA,NA,194.86
Recaredo,Reserva Particular de Recaredo Brut Nature,2011,4.7,35,Espana,Cava,Cava,2,3,65.05
Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,4.7,33,Espana,Castilla y Leon,Tempranillo,4,2,86.9
